FID,FID_Bounda,Id,FID_narok_,AREA,PERIMETER,NARO5K_,NARO5K_ID,UNIT,LAT,LONG,NUM
0,0,0,264,25000000.0000000,20013.6992188,266,265,-4643,8825,7925,0
1,0,0,265,25000000.0000000,20015.3007813,267,266,-4652,8825,7875,0
2,0,0,266,25000000.0000000,20017.0000000,268,267,-4653,8825,7825,0
3,0,0,267,25000000.0000000,20018.6992188,269,268,-4662,8825,7775,0
4,0,0,268,25000000.0000000,20020.3007813,270,269,-4663,8825,7725,8
5,0,0,269,25000000.0000000,20022.0000000,271,270,-4672,8825,7675,36
6,0,0,270,25000000.0000000,20023.6992188,272,271,-4673,8825,7625,0
7,0,0,271,25000100.0000000,20025.3007813,273,272,-4682,8825,7575,9
8,0,0,272,25000100.0000000,20027.0000000,274,273,-4683,8825,7525,0
9,0,0,273,25000000.0000000,20028.5996094,275,274,-4692,8825,7475,0
10,0,0,274,25000000.0000000,20030.3007813,276,275,-4693,8825,7425,0
11,0,0,275,25000000.0000000,20031.9003906,277,276,-4702,8825,7375,0
12,0,0,276,25000000.0000000,20033.5996094,278,277,-4703,8825,7325,0
13,0,0,277,7736270.0000000,20035.1992188,279,278,-4712,8825,7275,0
14,0,0,304,24999900.0000000,20013.6992188,306,305,-4745,8775,7925,0
15,0,0,305,25000000.0000000,20015.3007813,307,306,-4754,8775,7875,0
16,0,0,306,25000000.0000000,20017.0000000,308,307,-4755,8775,7825,0
17,0,0,307,25000000.0000000,20018.6992188,309,308,-4764,8775,7775,0
18,0,0,308,25000100.0000000,20020.3007813,310,309,-4765,8775,7725,2
19,0,0,309,25000000.0000000,20022.0000000,311,310,-4774,8775,7675,0
20,0,0,310,24999900.0000000,20023.5996094,312,311,-4775,8775,7625,58
21,0,0,311,25000000.0000000,20025.3007813,313,312,-4784,8775,7575,0
22,0,0,312,25000000.0000000,20026.9003906,314,313,-4785,8775,7525,73
23,0,0,313,25000000.0000000,20028.5996094,315,314,-4794,8775,7475,0
24,0,0,314,25000000.0000000,20030.3007813,316,315,-4795,8775,7425,0
25,0,0,315,25000000.0000000,20031.9003906,317,316,-4804,8775,7375,110
26,0,0,316,24999900.0000000,20033.5000000,318,317,-4805,8775,7325,0
27,0,0,317,21801400.0000000,20035.1992188,319,318,-4814,8775,7275,0
28,0,0,318,2549400.0000000,20036.9003906,320,319,-4815,8775,7225,0
29,0,0,344,25000000.0000000,20013.6992188,346,345,-4743,8725,7925,0
30,0,0,345,25000100.0000000,20015.4003906,347,346,-4752,8725,7875,0
31,0,0,346,25000100.0000000,20017.0000000,348,347,-4753,8725,7825,0
32,0,0,347,25000000.0000000,20018.6992188,349,348,-4762,8725,7775,0
33,0,0,348,25000000.0000000,20020.3007813,350,349,-4763,8725,7725,0
34,0,0,349,25000000.0000000,20021.9003906,351,350,-4772,8725,7675,0
35,0,0,350,25000000.0000000,20023.5996094,352,351,-4773,8725,7625,0
36,0,0,351,25000000.0000000,20025.3007813,353,352,-4782,8725,7575,0
37,0,0,352,25000000.0000000,20026.9003906,354,353,-4783,8725,7525,0
38,0,0,353,25000000.0000000,20028.5996094,355,354,-4792,8725,7475,0
39,0,0,354,25000100.0000000,20030.3007813,356,355,-4793,8725,7425,3
40,0,0,355,25000000.0000000,20031.9003906,357,356,-4802,8725,7375,0
41,0,0,356,25000000.0000000,20033.5996094,358,357,-4803,8725,7325,14
42,0,0,357,25000000.0000000,20035.1992188,359,358,-4812,8725,7275,0
43,0,0,358,16304600.0000000,20036.9003906,360,359,-4813,8725,7225,0
44,0,0,383,25000100.0000000,20013.8007813,385,384,-4845,8675,7925,0
45,0,0,384,25000100.0000000,20015.4003906,386,385,-4854,8675,7875,0
46,0,0,385,25000100.0000000,20017.0000000,387,386,-4855,8675,7825,0
47,0,0,386,25000000.0000000,20018.6992188,388,387,-4864,8675,7775,0
48,0,0,387,25000200.0000000,20020.4003906,389,388,-4865,8675,7725,0
49,0,0,388,25000000.0000000,20022.0000000,390,389,-4874,8675,7675,9
50,0,0,389,25000000.0000000,20023.5996094,391,390,-4875,8675,7625,0
51,0,0,390,25000000.0000000,20025.3007813,392,391,-4884,8675,7575,51
52,0,0,391,25000000.0000000,20027.0000000,393,392,-4885,8675,7525,0
53,0,0,392,25000000.0000000,20028.5996094,394,393,-4894,8675,7475,0
54,0,0,393,25000100.0000000,20030.3007813,395,394,-4895,8675,7425,19
55,0,0,394,25000100.0000000,20031.9003906,396,395,-4904,8675,7375,48
56,0,0,395,25000100.0000000,20033.5996094,397,396,-4905,8675,7325,0
57,0,0,396,25000100.0000000,20035.3007813,398,397,-4914,8675,7275,2
58,0,0,397,16276100.0000000,20037.0000000,399,398,-4915,8675,7225,0
59,0,0,421,25000000.0000000,20013.6992188,423,422,-4843,8625,7925,0
60,0,0,422,24999900.0000000,20015.3007813,424,423,-4852,8625,7875,0
61,0,0,423,25000100.0000000,20017.0000000,425,424,-4853,8625,7825,0
62,0,0,424,25000000.0000000,20018.6992188,426,425,-4862,8625,7775,0
63,0,0,425,24999900.0000000,20020.3007813,427,426,-4863,8625,7725,0
64,0,0,426,24999900.0000000,20021.9003906,428,427,-4872,8625,7675,0
65,0,0,427,25000000.0000000,20023.5996094,429,428,-4873,8625,7625,23
66,0,0,428,24999900.0000000,20025.3007813,430,429,-4882,8625,7575,1
67,0,0,429,25000000.0000000,20026.9003906,431,430,-4883,8625,7525,9
68,0,0,430,25000100.0000000,20028.5996094,432,431,-4892,8625,7475,6
69,0,0,431,25000000.0000000,20030.1992188,433,432,-4893,8625,7425,31
70,0,0,432,25000100.0000000,20031.9003906,434,433,-4902,8625,7375,0
71,0,0,433,25000100.0000000,20033.5996094,435,434,-4903,8625,7325,0
72,0,0,434,25000100.0000000,20035.3007813,436,435,-4912,8625,7275,0
73,0,0,435,23332100.0000000,20036.9003906,437,436,-4913,8625,7225,0
74,0,0,436,4768930.0000000,20038.5996094,438,437,-4922,8625,7175,7
75,0,0,458,25000000.0000000,20013.6992188,460,459,-4945,8575,7925,0
